YEAR,TOTAL POPULATION,NUMBER OFFENSES,CRIME RATE PER 100000,,,,,,,,
2013,1764397,62166,3523.356705,,,,,,,,
2014,1821227,58644,3220.026938,,,,,,,,
2015,1885799,56655,3004.296852,,,,,,,,
2016,1931656,56374,2918.42854,,,,,,,,
2017,1987842,53688,2700.818274,,,,,,,,
2018,2042795,54867,2685.878906,,,,,,,,
2019,2084952,58037,2783.613244,,,,,,,,
2020,2148759,59749,2780.62826,,,,,,,,
2021,2200333,57795,2626.647876,,,,,,,,
2022,2265330,60493,2670.383564,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,"8,301"
,,,,,,,,,,,"1,467.30"
,,,,,,,,,,,896
,,,,,,,,,,,10.8
,,,,,,,,,,,835
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,"7,892"
,,,,,,,,,,,"1,345.50"
,,,,,,,,,,,699
,,,,,,,,,,,8.9
,,,,,,,,,,,664
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,"8,628"
,,,,,,,,,,,"1,373.60"
