Year,,,Population,,Murder,,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,,Total,Months,
2013,County Totals - AUSTIN COUNTY,,,,,,,,,,,,,,,
,Population,,28802,,,,,,,,,,,,,
,Number Offenses,,,,0,,4,6,63,126,296,25,,520,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,County Totals - BRAZORIA COUNTY,,,,,,,,,,,,,,,
,Population,,334834,,,,,,,,,,,,,
,Number Offenses,,,,7,,87,114,409,1523,4569,292,,7001,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,County Totals - CHAMBERS COUNTY,,,,,,,,,,,,,,,
,Population,,32622,,,,,,,,,,,,,
,Number Offenses,,,,1,,5,8,52,205,435,89,,795,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Population,,316982,,,,,,,,,,,,,
,Number Offenses,,,,14,,104,244,356,2130,7097,559,,10504,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,County Totals - HARRIS COUNTY,,,,,,,,,,,,,,,
,Population,,4349644,,,,,,,,,,,,,
,Number Offenses,,,,333,,1058,13737,16048,40564,119329,20944,,212013,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Population,,606395,,,,,,,,,,,,,
,Number Offenses,,,,11,,71,311,867,2079,6290,487,,10116,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,County Totals - LIBERTY COUNTY,,,,,,,,,,,,,,,
,Population,,77141,,,,,,,,,,,,,
,Number Offenses,,,,1,,27,27,264,566,1685,225,,2795,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Population,,491772,,,,,,,,,,,,,
,Number Offenses,,,,6,,20,188,505,2184,5877,603,,9383,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,County Totals - WALLER COUNTY,,,,,,,,,,,,,,,
,Population,,44101,,,,,,,,,,,,,
,Number Offenses,,,,1,,22,19,59,231,487,57,,876,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
