County,City,Year,Population,Total Offenses
Austin,Houston,2013,28802,520
Brazoria,Houston,2013,334824,7001
Chambers,Houston,2013,32622,795
Fort Bend,Houston,2013,606396,10116
Galveston,Houston,2013,316982,10504
Harris,Houston,2013,4349644,212013
Montgomery,Houston,2013,491772,9383
Liberty,Houston,2013,77141,2795
Waller,Houston,2013,44101,876
Austin,Houston,2014,29160,533
Brazoria,Houston,2014,342220,6465
Chambers,Houston,2014,33315,886
Fort Bend,Houston,2014,637265,10123
Galveston,Houston,2014,325519,9956
Harris,Houston,2014,4455105,201217
Montgomery,Houston,2014,512534,9072
Liberty,Houston,2014,77750,2581
Waller,Houston,2014,45186,943
Austin,Houston,2015,29354,482
Brazoria,Houston,2015,350739,6551
Chambers,Houston,2015,34701,971
Fort Bend,Houston,2015,680418,11597
Galveston,Houston,2015,333684,9177
Harris,Houston,2015,4566277,195529
Montgomery,Houston,2015,531732,10009
Liberty,Houston,2015,78882,2239
Waller,Houston,2015,46933,956
Austin,Houston,2016,29718,466
Brazoria,Houston,2016,358003,6479
Chambers,Houston,2016,35244,995
Fort Bend,Houston,2016,702338,10438
Galveston,Houston,2016,340859,9844
Harris,Houston,2016,4646498,197691
Montgomery,Houston,2016,547297,8816
Liberty,Houston,2016,80209,2005
Waller,Houston,2016,48644,842
Austin,Houston,2017,29963,373
Brazoria,Houston,2017,367132,6041
Chambers,Houston,2017,36489,822
Fort Bend,Houston,2017,728805,9816
Galveston,Houston,2017,349112,9319
Harris,Houston,2017,4702468,191423
Montgomery,Houston,2017,567199,7694
Liberty,Houston,2017,25306,821
Waller,Houston,2017,50195,818
Austin,Houston,2018,29912,295
Brazoria,Houston,2018,375183,6039
Chambers,Houston,2018,37983,717
Fort Bend,Houston,2018,752245,9711
Galveston,Houston,2018,354271,8788
Harris,Houston,2018,4753437,185606
Montgomery,Houston,2018,580733,8865
Liberty,Houston,2018,84637,1703
Waller,Houston,2018,51297,983
Austin,Houston,2019,30009,303
Brazoria,Houston,2019,381928,6868
Chambers,Houston,2019,38973,820
Fort Bend,Houston,2019,772362,10491
Galveston,Houston,2019,355654,7976
Harris,Houston,2019,4776485,194475
Montgomery,Houston,2019,598274,8944
Liberty,Houston,2019,87220,1812
Waller,Houston,2019,52852,666
Austin,Houston,2020,30121,280
Brazoria,Houston,2020,386756,6159
Chambers,Houston,2020,40518,842
Fort Bend,Houston,2020,797951,9888
Galveston,Houston,2020,360636,8163
Harris,Houston,2020,4799254,196508
Montgomery,Houston,2020,616505,8210
Liberty,Houston,2020,89450,1727
Waller,Houston,2020,54943,801
Austin,Houston,2021,29836,294
Brazoria,Houston,2021,384943,5941
Chambers,Houston,2021,42064,866
Fort Bend,Houston,2021,821030,10423
Galveston,Houston,2021,359222,7084
Harris,Houston,2021,4788925,194815
Montgomery,Houston,2021,631547,9183
Liberty,Houston,2021,83886,993
Waller,Houston,2021,56439,718
Austin,Houston,2022,30837,310
Brazoria,Houston,2022,397135,6549
Chambers,Houston,2022,46257,1146
Fort Bend,Houston,2022,845866,11993
Galveston,Houston,2022,372065,7588
Harris,Houston,2022,4788785,209078
Montgomery,Houston,2022,670242,9972
Liberty,Houston,2022,95334,1413
Waller,Houston,2022,57871,916
