Year,Agency,,Population,,Murder,,Robbery,Assault,Burglary,Larceny,Auto Theft,,Months,
2014,County Totals - AUSTIN COUNTY,,,,,,,,,,,,,
,Population,,29160,,,,,,,,,,,
,Number Offenses,,,,0,,9,63,158,276,27,,,
,"Rate Per 100,000",,,,0,,30.9,216,541.8,946.5,92.6,,,
,Number Clearances,,,,0,,5,47,10,74,3,,,
,Percent Cleared,,,,0,,56,75,7,27,12,,,
,Number of Arrests,,,,0,,7,63,15,91,7,,,
,,,,,,,,,,,,,,
,County Totals - BRAZORIA COUNTY,,,,,,,,,,,,,
,Population,,342220,,,,,,,,,,,
,Number Offenses,,,,8,,108,373,1191,4501,284,,,
,"Rate Per 100,000",,,,2.3,,31.6,109,348,1315.2,83,,,
,Number Clearances,,,,6,,53,278,261,1879,114,,,
,Percent Cleared,,,,75,,50,75,22,42,41,,,
,Number of Arrests,,,,3,,43,201,143,1650,64,,,
,,,,,,,,,,,,,,
,County Totals - CHAMBERS COUNTY,,,,,,,,,,,,,
,Population,,33315,,,,,,,,,,,
,Number Offenses,,,,2,,6,69,135,569,105,,,
,"Rate Per 100,000",,,,6,,18,207.1,405.2,1707.9,315.2,,,
,Number Clearances,,,,2,,7,72,136,486,83,,,
,Percent Cleared,,,,100,,117,105,101,86,79,,,
,Number of Arrests,,,,2,,2,87,37,139,15,,,
,,,,,,,,,,,,,,
,County Totals - FORT BEND COUNTY,,,,,,,,,,,,,
,Population,,637265,,,,,,,,,,,
,Number Offenses,,,,12,,284,960,2030,6339,498,,,
,"Rate Per 100,000",,,,1.9,,44.6,150.6,318.5,994.7,78.1,,,
,Number Clearances,,,,9,,108,718,311,1837,106,,,
,Percent Cleared,,,,75,,38,75,16,29,22,,,
,Number of Arrests,,,,6,,99,200,201,1330,54,,,
,,,,,,,,,,,,,,
,County Totals - GALVESTON COUNTY,,,,,,,,,,,,,
,Population,,325519,,,,,,,,,,,
,Number Offenses,,,,13,,262,458,1872,6747,604,,,
,"Rate Per 100,000",,,,4,,80.5,140.7,575.1,2072.7,185.5,,,
,Number Clearances,,,,10,,77,302,300,1880,160,,,
,Percent Cleared,,,,77,,30,66,16,28,27,,,
,Number of Arrests,,,,12,,147,676,286,1964,108,,,
,,,,,,,,,,,,,,
,County Totals - HARRIS COUNTY,,,,,,,,,,,,,
,Population,,4455105,,,,,,,,,,,
,Number Offenses,,,,325,,14084,16396,36199,111673,22540,,,
,"Rate Per 100,000",,,,7.3,,316.1,368,812.5,2506.6,505.9,,,
,Number Clearances,,,,225,,1916,6387,2004,15395,1072,,,
,Percent Cleared,,,,70,,14,39,6,14,5,,,
,Number of Arrests,,,,176,,1646,2718,1698,15450,457,,,
,,,,,,,,,,,,,,
,County Totals - LIBERTY COUNTY,,,,,,,,,,,,,
,Population,,77750,,,,,,,,,,,
,Number Offenses,,,,6,,28,256,537,1535,219,,,
,"Rate Per 100,000",,,,7.7,,36,329.3,690.7,1974.3,281.7,,,
,Number Clearances,,,,8,,10,147,63,506,34,,,
,Percent Cleared,,,,134,,36,58,12,33,16,,,
,Number of Arrests,,,,5,,9,82,51,367,17,,,
,,,,,,,,,,,,,,
,County Totals - MONTGOMERY COUNTY,,,,,,,,,,,,,
,Population,,512534,,,,,,,,,,,
,Number Offenses,,,,8,,196,551,2028,5632,657,,,
,"Rate Per 100,000",,,,1.6,,38.2,107.5,395.7,1098.9,128.2,,,
,Number Clearances,,,,4,,46,209,108,936,45,,,
,Percent Cleared,,,,50,,24,38,6,17,7,,,
,Number of Arrests,,,,3,,78,186,139,1061,27,,,
,,,,,,,,,,,,,,
,County Totals - WALLER COUNTY,,,,,,,,,,,,,
,Population,,45186,,,,,,,,,,,
,Number Offenses,,,,3,,23,105,296,471,45,,,
,"Rate Per 100,000",,,,6.6,,50.9,232.4,655.1,1042.4,99.6,,,
,Number Clearances,,,,1,,4,44,21,49,14,,,
,Percent Cleared,,,,34,,18,42,8,11,32,,,
,Number of Arrests,,,,1,,2,78,30,51,15,,,
