Year,Agency,,Population,,Murder,,Robbery,Assault,Burglary,Larceny,Auto Theft,,Total,Months,
2014,County Totals - AUSTIN COUNTY,,,,,,,,,,,,,,
,Population,,29160,,,,,,,,,,,,
,Number Offenses,,,,0,,9,63,158,276,27,,533,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,County Totals - BRAZORIA COUNTY,,,,,,,,,,,,,,
,Population,,342220,,,,,,,,,,,,
,Number Offenses,,,,8,,108,373,1191,4501,284,,6465,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,County Totals - CHAMBERS COUNTY,,,,,,,,,,,,,,
,Population,,33315,,,,,,,,,,,,
,Number Offenses,,,,2,,6,69,135,569,105,,886,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,County Totals - FORT BEND COUNTY,,,,,,,,,,,,,,
,Population,,637265,,,,,,,,,,,,
,Number Offenses,,,,12,,284,960,2030,6339,498,,10123,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,County Totals - GALVESTON COUNTY,,,,,,,,,,,,,,
,Population,,325519,,,,,,,,,,,,
,Number Offenses,,,,13,,262,458,1872,6747,604,,9956,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,County Totals - HARRIS COUNTY,,,,,,,,,,,,,,
,Population,,4455105,,,,,,,,,,,,
,Number Offenses,,,,325,,14084,16396,36199,111673,22540,,201217,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,County Totals - LIBERTY COUNTY,,,,,,,,,,,,,,
,Population,,77750,,,,,,,,,,,,
,Number Offenses,,,,6,,28,256,537,1535,219,,2581,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,County Totals - MONTGOMERY COUNTY,,,,,,,,,,,,,,
,Population,,512534,,,,,,,,,,,,
,Number Offenses,,,,8,,196,551,2028,5632,657,,9072,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,County Totals - WALLER COUNTY,,,,,,,,,,,,,,
,Population,,45186,,,,,,,,,,,,
,Number Offenses,,,,3,,23,105,296,471,45,,943,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
