County,Metropolitan Area,Year,Population,Total Offenses
Collin,Dallas ,2013,832243,15496
Dallas,Dallas ,2013,2748644,110587
Denton,Dallas ,2013,557291,10193
Ellis,Dallas ,2013,149025,3333
Erath,Dallas ,2013,39970,841
Hood,Dallas ,2013,52496,1119
Hunt,Dallas ,2013,85954,2881
Johnson,Dallas ,2013,161586,3802
Kaufman,Dallas ,2013,107951,2347
Navarro,Dallas ,2013,48249,1835
Palo Pinto,Dallas ,2013,30047,1109
Parker,Dallas ,2013,117055,1927
Rockwall,Dallas ,2013,77987,1173
Somervell,Dallas ,2013,8664,101
Tarrant ,Dallas ,2013,1857426,75525
Wise ,Dallas ,2013,61127,914
Collin,Dallas ,2014,851823,14816
Dallas,Dallas ,2014,2787018,100333
Denton,Dallas ,2014,577757,9783
Ellis,Dallas ,2014,151691,3060
Erath,Dallas ,2014,40406,780
Hood,Dallas ,2014,53688,1078
Hunt,Dallas ,2014,84739,2782
Johnson,Dallas ,2014,163971,3303
Kaufman,Dallas ,2014,110354,2095
Navarro,Dallas ,2014,48458,1759
Palo Pinto,Dallas ,2014,30191,850
Parker,Dallas ,2014,119377,1938
Rockwall,Dallas ,2014,80732,1081
Somervell,Dallas ,2014,8759,72
Tarrant ,Dallas ,2014,1897632,70052
Wise ,Dallas ,2014,61855,768
Collin,Dallas ,2015,886551,13780
Dallas,Dallas ,2015,2829734,99450
Denton,Dallas ,2015,599184,9620
Ellis,Dallas ,2015,154975,2835
Erath,Dallas ,2015,40826,675
Hood,Dallas ,2015,53918,1067
Hunt,Dallas ,2015,86037,2124
Johnson,Dallas ,2015,166918,3207
Kaufman,Dallas ,2015,113178,2039
Navarro,Dallas ,2015,46835,1546
Palo Pinto,Dallas ,2015,28819,695
Parker,Dallas ,2015,120339,1726
Rockwall,Dallas ,2015,83560,1069
Somervell,Dallas ,2015,8760,91
Tarrant ,Dallas ,2015,1929893,66954
Wise ,Dallas ,2015,62425,785
Collin,Dallas ,2016,915044,13976
Dallas,Dallas ,2016,2857909,101981
Denton,Dallas ,2016,615486,9873
Ellis,Dallas ,2016,158612,2911
Erath,Dallas ,2016,41678,777
Hood,Dallas ,2016,55264,957
Hunt,Dallas ,2016,87029,2032
Johnson,Dallas ,2016,169233,3026
Kaufman,Dallas ,2016,116406,2145
Navarro,Dallas ,2016,46702,1254
Palo Pinto,Dallas ,2016,27909,802
Parker,Dallas ,2016,125461,1739
Rockwall,Dallas ,2016,86209,1122
